No,Q1,Q2,Q3,Q4,Q5,Q6,TD(s),SL
1,1,1,1,1,1,1,0.8,1
2,1,1,1,1,1,0,0.8,1
3,1,1,1,1,0,1,0.8,1
4,1,1,1,0,1,1,0.8,1
5,1,1,0,1,1,1,0.8,1
6,1,0,1,1,1,1,0.8,1
7,0,1,1,1,1,1,0.8,1
8,1,1,1,1,1,1,0.9,1
9,1,1,1,1,1,0,0.9,1
10,1,1,1,1,0,1,0.9,1
11,1,1,1,0,1,1,0.9,1
12,1,1,0,1,1,1,0.9,1
13,1,0,1,1,1,1,0.9,1
14,0,1,1,1,1,1,0.9,1
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,0,1,1
17,1,1,1,1,0,1,1,1
18,1,1,1,0,1,1,1,1
19,1,1,0,1,1,1,1,1
20,1,0,1,1,1,1,1,1
21,0,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1.1,1
23,1,1,1,1,1,0,1.1,1
24,1,1,1,1,0,1,1.1,1
25,1,1,1,0,1,1,1.1,1
26,1,1,0,1,1,1,1.1,1
27,1,0,1,1,1,1,1.1,1
28,0,1,1,1,1,1,1.1,1
29,1,1,1,1,1,1,1.2,1
30,1,1,1,1,1,0,1.2,1
31,1,1,1,1,0,1,1.2,1
32,1,1,1,0,1,1,1.2,1
33,1,1,0,1,1,1,1.2,1
34,1,0,1,1,1,1,1.2,1
35,0,1,1,1,1,1,1.2,1
36,1,1,1,1,1,1,1.3,1
37,1,1,1,1,1,0,1.3,1
38,1,1,1,1,0,1,1.3,1
39,1,1,1,0,1,1,1.3,1
40,1,1,0,1,1,1,1.3,1
41,1,0,1,1,1,1,1.3,1
42,0,1,1,1,1,1,1.3,1
43,1,1,1,1,1,1,1.4,1
44,1,1,1,1,1,0,1.4,1
45,1,1,1,1,0,1,1.4,1
46,1,1,1,0,1,1,1.4,1
47,1,1,0,1,1,1,1.4,1
48,1,0,1,1,1,1,1.4,1
49,0,1,1,1,1,1,1.4,1
50,1,1,1,1,1,1,1.5,1
51,1,1,1,1,1,0,1.5,1
52,1,1,1,1,0,1,1.5,1
53,1,1,1,0,1,1,1.5,1
54,1,1,0,1,1,1,1.5,1
55,1,0,1,1,1,1,1.5,1
56,0,1,1,1,1,1,1.5,1
57,1,1,1,1,1,1,1.6,1
58,1,1,1,1,1,0,1.6,1
59,1,1,1,1,0,1,1.6,1
60,1,1,1,0,1,1,1.6,1
61,1,1,0,1,1,1,1.6,1
62,1,0,1,1,1,1,1.6,1
63,0,1,1,1,1,1,1.6,1
64,1,1,1,1,1,1,1.7,1
65,1,1,1,1,1,0,1.7,1
66,1,1,1,1,0,1,1.7,1
67,1,1,1,0,1,1,1.7,1
68,1,1,0,1,1,1,1.7,1
69,1,0,1,1,1,1,1.7,1
70,0,1,1,1,1,1,1.8,1
71,1,1,1,1,1,1,1.8,1
72,1,1,1,1,1,0,1.8,1
73,1,1,1,1,0,1,1.8,1
74,1,1,1,0,1,1,1.8,1
75,1,1,0,1,1,1,1.8,1
76,1,0,1,1,1,1,1.8,1
77,0,1,1,1,1,1,1.8,1
78,1,1,1,1,1,1,1.9,1
79,1,1,1,1,1,0,1.9,1
80,1,1,1,1,0,1,1.9,1
81,1,1,1,0,1,1,1.9,1
82,1,1,0,1,1,1,1.9,1
83,1,0,1,1,1,1,1.9,1
84,0,1,1,1,1,1,1.9,1
85,1,1,1,1,1,1,2,1
86,1,1,1,1,1,0,2,1
87,1,1,1,1,0,1,2,1
88,1,1,1,0,1,1,2,1
89,1,1,0,1,1,1,2,1
90,1,0,1,1,1,1,2,1
91,0,1,1,1,1,1,2,1
92,1,1,1,1,1,1,2.1,1
93,1,1,1,1,1,0,2.1,1
94,1,1,1,1,0,1,2.1,1
95,1,1,1,0,1,1,2.1,1
96,1,1,0,1,1,1,2.1,1
97,1,0,1,1,1,1,2.1,1
98,0,1,1,1,1,1,2.1,1
99,1,1,1,1,1,1,2.2,1
100,1,1,1,1,1,0,2.2,1
101,1,1,1,1,0,1,2.2,1
102,1,1,1,0,1,1,2.2,1
103,1,1,0,1,1,1,2.2,1
104,1,0,1,1,1,1,2.2,1
105,0,1,1,1,1,1,2.2,1
106,1,1,1,1,1,1,2.3,1
107,1,1,1,1,1,0,2.3,1
108,1,1,1,1,0,1,2.3,1
109,1,1,1,0,1,1,2.3,1
110,1,1,0,1,1,1,2.3,1
111,1,0,1,1,1,1,2.3,1
112,0,1,1,1,1,1,2.3,1
113,1,1,1,1,1,1,2.4,1
114,1,1,1,1,1,0,2.4,1
115,1,1,1,1,0,1,2.4,1
116,1,1,1,0,1,1,2.4,1
117,1,1,0,1,1,1,2.4,1
118,1,0,1,1,1,1,2.4,1
119,0,1,1,1,1,1,2.4,1
120,1,1,1,1,1,1,2.5,1
121,1,1,1,1,1,0,2.5,1
122,1,1,1,1,0,1,2.5,1
123,1,1,1,0,1,1,2.5,1
124,1,1,0,1,1,1,2.5,1
125,1,0,1,1,1,1,2.5,1
126,0,1,1,1,1,1,2.5,1
127,1,1,1,1,1,1,2.6,1
128,1,1,1,1,1,0,2.6,1
129,1,1,1,1,0,1,2.6,1
130,1,1,1,0,1,1,2.6,1
131,1,1,0,1,1,1,2.6,1
132,1,0,1,1,1,1,2.6,1
133,0,1,1,1,1,1,2.6,1
134,1,1,1,1,1,1,2.7,1
135,1,1,1,1,1,0,2.7,1
136,1,1,1,1,0,1,2.7,1
137,1,1,1,0,1,1,2.7,1
138,1,1,0,1,1,1,2.7,1
139,1,0,1,1,1,1,2.7,1
140,0,1,1,1,1,1,2.7,1
141,1,1,1,1,1,1,2.8,1
142,1,1,1,1,1,0,2.8,1
143,1,1,1,1,0,1,2.8,1
144,1,1,1,0,1,1,2.8,1
145,1,1,0,1,1,1,2.8,1
146,1,0,1,1,1,1,2.8,1
147,0,1,1,1,1,1,2.8,1
148,1,1,1,1,1,1,2.9,1
149,1,1,1,1,1,0,2.9,1
150,1,1,1,1,0,1,2.9,1
151,1,1,1,0,1,1,2.9,1
152,1,1,0,1,1,1,2.9,1
153,1,0,1,1,1,1,2.9,1
154,0,1,1,1,1,1,2.9,1
155,1,1,1,1,1,1,3,1
156,1,1,1,1,1,0,3,1
157,1,1,1,1,0,1,3,1
158,1,1,1,0,1,1,3,1
159,1,1,0,1,1,1,3,1
160,1,0,1,1,1,1,3,1
161,0,1,1,1,1,1,3,1
162,1,1,1,1,1,1,3.1,2
163,1,1,1,1,1,0,3.1,2
164,1,1,1,1,0,1,3.1,2
165,1,1,1,0,1,1,3.1,2
166,1,1,0,1,1,1,3.1,2
167,1,0,1,1,1,1,3.1,2
168,0,1,1,1,1,1,3.1,2
169,1,1,1,1,1,1,3.2,2
170,1,1,1,1,1,0,3.2,2
171,1,1,1,1,0,1,3.2,2
172,1,1,1,0,1,1,3.2,2
173,1,1,0,1,1,1,3.2,2
174,1,0,1,1,1,1,3.2,2
175,0,1,1,1,1,1,3.2,2
176,1,1,1,1,1,1,3.3,2
177,1,1,1,1,1,0,3.3,2
178,1,1,1,1,0,1,3.3,2
179,1,1,1,0,1,1,3.3,2
180,1,1,0,1,1,1,3.3,2
181,1,0,1,1,1,1,3.3,2
182,0,1,1,1,1,1,3.3,2
183,1,1,1,1,1,1,3.4,2
184,1,1,1,1,1,0,3.4,2
185,1,1,1,1,0,1,3.4,2
186,1,1,1,0,1,1,3.4,2
187,1,1,0,1,1,1,3.4,2
188,1,0,1,1,1,1,3.4,2
189,0,1,1,1,1,1,3.4,2
190,1,1,1,1,1,1,3.5,2
191,1,1,1,1,1,0,3.5,2
